bill,economy,immigration,defense,healthcare,education,environment,infrastructure,science and technology,legal
hr1370-115,1,0,1,0,0,0,0,0,0
s756-115,0,0,0,0,0,1,0,0,0
PN1095,0,0,1,0,0,0,0,0,0
PN48,0,0,0,0,0,0,1,0,0
PN44,0,0,0,0,0,1,0,0,0
PN42,1,0,0,0,0,0,0,0,0
PN43,0,0,1,0,0,0,0,0,0
PN40,0,0,0,0,0,1,1,0,0
PN41,0,0,1,0,0,0,0,0,0
hjres36-115,0,0,0,0,0,1,1,0,0
hjres66-115,1,0,0,0,0,0,0,0,0
PN696,0,0,1,0,0,0,0,0,0
PN1761,0,0,1,0,0,0,0,0,0
s2372-115,0,0,0,1,0,0,0,0,0
hr601-115,0,0,0,1,0,0,1,0,0
hr244-115,0,1,0,1,0,0,1,0,0
sconres3-115,0,1,1,1,0,0,0,0,0
hjres37-115,0,0,0,0,0,0,0,1,0
hr695-115,0,0,1,1,0,0,1,1,0
hjres44-115,0,0,0,0,0,1,1,0,0
PN50,0,0,1,0,0,0,0,0,0
PN55,0,0,0,0,0,0,0,0,1
PN54,0,0,0,0,0,0,1,0,0
hjres43-115,1,0,0,0,0,0,0,0,0
sjres42-115,0,0,1,0,0,0,0,0,0
hjres58-115,0,0,0,0,1,0,0,0,0
hjres38-115,0,0,0,0,0,0,1,0,0
hjres111-115,0,0,0,0,0,0,0,0,1
hr1892-115,0,0,0,0,0,0,1,0,0
hr-1-final1-115,1,0,0,0,1,0,1,0,0
hjres42-115,1,0,0,0,0,0,0,0,0
hjres57-115,0,0,0,0,1,0,0,0,0
hr-senate-repeal1628-115,0,1,0,0,0,0,0,0,0
s109-116,0,0,0,1,0,0,0,0,0
PN29,0,0,1,0,0,0,0,0,0
PN25,0,0,1,0,0,0,0,0,0
PN26,0,0,1,0,0,0,0,0,0
nuclear0-115,0,0,0,0,0,0,1,1,0
sjres2-116,0,0,0,0,0,0,0,0,1
PN1857,0,0,1,0,0,0,0,0,0
s84-115,0,0,1,0,0,0,0,0,0
hr-conference2-115,0,0,0,0,0,0,0,0,1
s722-115,0,0,1,0,0,0,0,0,0
sjres52-115,1,0,0,0,0,0,0,1,0
PN39,0,0,0,1,0,0,0,0,0
PN37,1,0,0,0,0,0,1,1,0
PN36,0,0,0,0,0,1,0,1,0
PN35,0,0,0,0,0,0,1,0,0
PN34,0,0,0,0,0,0,1,0,0
PN33,0,0,0,1,0,0,0,0,0
PN32,1,0,0,0,0,0,0,0,0
PN31,0,0,0,0,0,0,0,0,1
PN30,0,0,0,0,0,0,0,0,1
hjres41-115,1,0,0,0,0,1,0,0,0
hr-1-senate1-115,1,0,0,0,0,0,0,0,1
hr-senate-amendment-5268-116,0,0,1,0,1,0,0,0,0
hrsamd1958-115,0,0,0,0,0,0,0,0,0
hr195a-115,1,0,0,0,0,0,0,0,0
PN2179,0,0,0,1,0,0,0,0,0
hrsamd1959-115,0,0,0,0,0,0,0,0,0
hr2266-115,0,0,0,1,0,0,1,0,0
sjres63-115,1,0,0,0,0,0,0,0,0
PN1371,0,0,0,1,0,0,0,0,0
sjres34-115,0,0,1,0,0,0,0,1,0
PN88,1,0,0,0,0,0,0,0,0
hjres40-115,0,0,1,0,0,0,0,0,0
hjres83-115,1,0,0,0,0,0,0,0,1
hr2-115,1,0,0,0,0,0,1,0,0
hconres71-115,1,1,1,1,1,1,1,1,1
sjres57-115,1,0,0,0,0,0,0,0,0
hr-delay1628-115,0,0,0,0,0,0,0,0,0
hr3-115,1,0,0,0,0,0,0,0,1
hjres123-115,1,1,1,1,1,1,1,1,1
sjres64-115,0,0,0,0,0,0,0,0,1
PN90,1,0,0,0,0,0,0,0,1
s2155-115,1,0,0,0,0,0,0,0,0
hr-senate-amendment-6268-116,0,0,0,0,0,0,0,0,1
PN2259,0,0,0,0,0,0,0,0,1
hr1625-115,1,0,0,0,0,0,0,0,0
hr3364-115,0,0,1,0,0,0,0,0,0
s2311-115,0,0,0,1,0,0,0,0,0
hr195-115,0,0,0,1,0,0,0,0,0
hr-tariffs5515-115,0,0,1,0,0,0,0,0,0
hr-mtp1628-115,0,0,0,1,0,0,0,0,0
hjres67-115,1,0,0,0,0,0,0,0,0
hr6-115,0,0,0,1,0,0,0,0,1
sjres54-115,0,0,1,0,0,0,0,0,0
s139-115,0,0,1,0,0,0,0,0,0
,24,5,25,17,6,9,19,9,16